id_batalla,id_temporada,id_arena
1,T1,54000000
2,T2,54000001
3,T3,54000002
4,T4,54000003
5,T5,54000004
6,T6,54000005
7,T7,54000006
8,T8,54000007
9,T9,54000008
10,T10,54000009
11,T1,54000010
12,T2,54000011
13,T3,54000012
14,T4,54000013
15,T5,54000014
16,T6,54000015
17,T7,54000016
18,T8,54000017
19,T9,54000018
20,T10,54000019
21,T1,54000020
22,T2,54000021
23,T3,54000022
24,T4,54000023
25,T5,54000024
26,T6,54000025
27,T7,54000026
28,T8,54000027
29,T9,54000028
30,T10,54000029
31,T1,54000030
32,T2,54000031
33,T3,54000032
34,T4,54000033
35,T5,54000034
36,T6,54000035
37,T7,54000036
38,T8,54000037
39,T9,54000038
40,T10,54000039
41,T1,54000040
42,T2,54000041
43,T3,54000042
44,T4,54000043
45,T5,54000044
46,T6,54000045
47,T7,54000046
48,T8,54000047
49,T9,54000048
50,T10,54000049
51,T1,54000050
52,T2,54000051
53,T3,54000052
54,T4,54000053
55,T5,54000054
56,T6,54000055
57,T7,54000056
58,T8,54000057
59,T9,54000058
60,T10,54000000
61,T1,54000001
62,T2,54000002
63,T3,54000003
64,T4,54000004
65,T5,54000005
66,T6,54000006
67,T7,54000007
68,T8,54000008
69,T9,54000009
70,T10,54000010
71,T1,54000011
72,T2,54000012
73,T3,54000013
74,T4,54000014
75,T5,54000015
76,T6,54000016
77,T7,54000017
78,T8,54000018
79,T9,54000019
80,T10,54000020
81,T1,54000021
82,T2,54000022
83,T3,54000023
84,T4,54000024
85,T5,54000025
86,T6,54000026
87,T7,54000027
88,T8,54000028
89,T9,54000029
90,T10,54000030
91,T1,54000031
92,T2,54000032
93,T3,54000033
94,T4,54000034
95,T5,54000035
96,T6,54000036
97,T7,54000037
98,T8,54000038
99,T9,54000039
100,T10,54000040
101,T1,54000041
102,T2,54000042
103,T3,54000043
104,T4,54000044
105,T5,54000045
106,T6,54000046
107,T7,54000047
108,T8,54000048
109,T9,54000049
110,T10,54000050
111,T1,54000051
112,T2,54000052
113,T3,54000053
114,T4,54000054
115,T5,54000055
116,T6,54000056
117,T7,54000057
118,T8,54000058
119,T9,54000000
120,T10,54000001
121,T1,54000002
122,T2,54000003
123,T3,54000004
124,T4,54000005
125,T5,54000006
126,T6,54000007
127,T7,54000008
128,T8,54000009
129,T9,54000010
130,T10,54000011
131,T1,54000012
132,T2,54000013
133,T3,54000014
134,T4,54000015
135,T5,54000016
136,T6,54000017
137,T7,54000018
138,T1,54000019
139,T2,54000020
140,T3,54000021
141,T4,54000022
142,T5,54000023
143,T6,54000024
144,T7,54000025
145,T8,54000026
146,T9,54000027
147,T10,54000028
148,T1,54000029
149,T2,54000030
150,T3,54000031
151,T4,54000032
152,T5,54000033
153,T6,54000034
154,T7,54000035
155,T8,54000036
156,T9,54000037
157,T10,54000038
158,T1,54000039
159,T2,54000040
160,T3,54000041
161,T4,54000042
162,T5,54000043
163,T6,54000044
164,T7,54000045
165,T8,54000046
166,T9,54000047
167,T10,54000048
168,T1,54000049
169,T2,54000050
170,T3,54000051
171,T4,54000052
172,T5,54000053
173,T6,54000054
174,T7,54000055
175,T8,54000056
176,T9,54000057
177,T10,54000058
178,T1,54000000
179,T2,54000001
180,T3,54000002
181,T4,54000003
182,T5,54000004
183,T6,54000005
184,T7,54000006
185,T8,54000007
186,T9,54000008
187,T10,54000009
188,T1,54000010
189,T2,54000011
190,T3,54000012
191,T4,54000013
192,T5,54000014
193,T6,54000015
194,T7,54000016
195,T8,54000017
196,T9,54000018
197,T10,54000019
198,T1,54000020
199,T2,54000021
200,T3,54000022
201,T4,54000023
202,T5,54000024
203,T6,54000025
204,T7,54000026
205,T8,54000027
206,T9,54000028
207,T10,54000029
208,T1,54000030
209,T2,54000031
210,T3,54000032
211,T4,54000033
212,T5,54000034
213,T6,54000035
214,T7,54000036
215,T8,54000037
216,T9,54000038
217,T10,54000039
218,T1,54000040
219,T2,54000041
220,T3,54000042
221,T4,54000043
222,T5,54000044
223,T6,54000045
224,T7,54000046
225,T8,54000047
226,T9,54000048
227,T10,54000049
228,T1,54000050
229,T2,54000051
230,T3,54000052
231,T4,54000053
232,T5,54000054
233,T6,54000055
234,T7,54000056
235,T8,54000057
236,T9,54000058
237,T10,54000000
238,T1,54000001
239,T2,54000002
240,T3,54000003
241,T4,54000004
242,T5,54000005
243,T6,54000006
244,T7,54000007
245,T8,54000008
246,T9,54000009
247,T10,54000010
248,T1,54000011
249,T2,54000012
250,T3,54000013
251,T4,54000014
252,T5,54000015
253,T6,54000016
254,T7,54000017
255,T8,54000018
256,T9,54000019
257,T10,54000020
258,T1,54000021
259,T2,54000022
260,T3,54000023
261,T4,54000024
262,T5,54000025
263,T6,54000026
264,T7,54000027
265,T8,54000028
266,T9,54000029
267,T10,54000030
268,T1,54000031
269,T2,54000032
270,T3,54000033
271,T4,54000034
272,T5,54000035
273,T6,54000036
274,T7,54000037
275,T1,54000038
276,T2,54000039
277,T3,54000040
278,T4,54000041
279,T5,54000042
280,T6,54000043
281,T7,54000044
282,T8,54000045
283,T9,54000046
284,T10,54000047
285,T1,54000048
286,T2,54000049
287,T3,54000050
288,T4,54000051
289,T5,54000052
290,T6,54000053
291,T7,54000054
292,T8,54000055
293,T9,54000056
294,T10,54000057
295,T1,54000058
296,T2,54000000
297,T3,54000001
298,T4,54000002
299,T5,54000003
300,T6,54000004
301,T7,54000005
302,T8,54000006
303,T9,54000007
304,T10,54000008
305,T1,54000009
306,T2,54000010
307,T3,54000011
308,T4,54000012
309,T5,54000013
310,T6,54000014
311,T7,54000015
312,T8,54000016
313,T9,54000017
314,T10,54000018
315,T1,54000019
316,T2,54000020
317,T3,54000021
318,T4,54000022
319,T5,54000023
320,T6,54000024
321,T7,54000025
322,T8,54000026
323,T9,54000027
324,T10,54000028
325,T1,54000029
326,T2,54000030
327,T3,54000031
328,T4,54000032
329,T5,54000033
330,T6,54000034
331,T7,54000035
332,T8,54000036
333,T9,54000037
334,T10,54000038
335,T1,54000039
336,T2,54000040
337,T3,54000041
338,T4,54000042
339,T5,54000043
340,T6,54000044
341,T7,54000045
342,T8,54000046
343,T9,54000047
344,T10,54000048
345,T1,54000049
346,T2,54000050
347,T3,54000051
348,T4,54000052
349,T5,54000053
350,T6,54000054
351,T7,54000055
352,T8,54000056
353,T9,54000057
354,T10,54000058
355,T1,54000000
356,T2,54000001
357,T3,54000002
358,T4,54000003
359,T5,54000004
360,T6,54000005
361,T7,54000006
362,T8,54000007
363,T9,54000008
364,T10,54000009
365,T1,54000010
366,T2,54000011
367,T3,54000012
368,T4,54000013
369,T5,54000014
370,T6,54000015
371,T7,54000016
372,T8,54000017
373,T9,54000018
374,T10,54000019
375,T1,54000020
376,T2,54000021
377,T3,54000022
378,T4,54000023
379,T5,54000024
380,T6,54000025
381,T7,54000026
382,T8,54000027
383,T9,54000028
384,T10,54000029
385,T1,54000030
386,T2,54000031
387,T3,54000032
388,T4,54000033
389,T5,54000034
390,T6,54000035
391,T7,54000036
392,T8,54000037
393,T9,54000038
394,T10,54000039
395,T1,54000040
396,T2,54000041
397,T3,54000042
398,T4,54000043
399,T5,54000044
400,T6,54000045
401,T7,54000046
402,T8,54000047
403,T9,54000048
404,T10,54000049
405,T1,54000050
406,T2,54000051
407,T3,54000052
408,T4,54000053
409,T5,54000054
410,T6,54000055
411,T7,54000056
412,T1,54000057
413,T2,54000058
414,T3,54000000
